,תאריך הדיווח,29/09/2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,החברה המדווחת,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,שם מסלול/קרן/קופה,1039ילין לפידות גמל בני 60 ומעלה,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,מספר מסלול/קרן/קופה,9941,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,קוד קופת הגמל,513611509-00000000001035-9941-000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1.ג. ניירות ערך לא סחירים,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,8. חוזים עתידיים,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,שם המנפיק/שם נייר ערך,"מספר ני""ע",ענף מסחר,סוג מטבע,תאריך רכישה,ערך נקוב,שער,שווי הוגן,שעור מנכסי אפיק ההשקעה,שעור מסך נכסי השקעה,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,תאריך,,אגורות,אלפי ₪,אחוזים,אחוזים,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,(1),(2),(3),(4),(5),(6),(7),(8),(9),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"סה""כ חוזים עתידיים ",,,,,"2,423,696.04",,276.11,100.00,0.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"סה""כ בישראל",,,,,"2,423,696.04",,-26.18,-9.48,-0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"סה""כ מדדים כולל מניות",,,,,0.00,,0.00,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0,0,0,0,,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"סה""כ ש""ח/מט""ח",,,,,"2,183,000.00",,2.28,0.82,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"לונג דולר _3.822_08/02/2017- בנק הפועלים בע""מ",89998419,אחר,דולר אמריקאי,10/02/16,"12,000.00",-7.23,-0.87,-0.31,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"FWD CCY\ILS 20160419 USD\ILS 3.7565000 20161019- בנק לאומי לישראל בע""מ",90001668,אחר,דולר אמריקאי,19/04/16,"595,000.00",-0.29,-1.75,-0.63,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"FWD CCY\ILS 20160426 USD\ILS 3.7464000 20161019- בנק לאומי לישראל בע""מ",90001698,אחר,דולר אמריקאי,26/04/16,"1,056,000.00",0.72,7.56,2.74,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"FWD CCY\ILS 20160505 USD\ILS 3.6880000 20180507- בנק לאומי לישראל בע""מ",90001746,אחר,דולר אמריקאי,05/05/16,"520,000.00",-0.51,-2.67,-0.97,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"סה""כ מט""ח/מט""ח",,,,,"-215,000.00",,-20.25,-7.33,-0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"FWD CCY\CCY EUR\GBP 0.84702_ 190717 בפועלים- בנק הפועלים בע""מ",89998420,אחר,אירו,19/07/16,"-215,000.00",9.42,-20.25,-7.33,-0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"סה""כ ריבית",,,,,0.00,,0.00,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0,0,0,0,,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"סה""כ אחר",,,,,"455,696.04",,-8.21,-2.97,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"irx 10 בלל מקבל דולר 4.005%_280725- בנק לאומי לישראל בע""מ",89998424,אחר,דולר אמריקאי,28/07/16,"224,924.01",100.69,850.41,308.00,0.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"irx 10 בלל_משלם 1%_CHF_280725- בנק לאומי לישראל בע""מ",89998425,אחר,פרנק שווצרי,28/07/16,"-222,000.00",100.17,-861.78,-312.11,-0.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"irx 9 בלל מקבל דולר 3.28%_280722- בנק לאומי לישראל בע""מ",89998421,אחר,דולר אמריקאי,28/07/16,"224,924.01",100.56,849.36,307.61,0.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"irx 9 בלל_משלם 0.5%_CHF_280722- בנק לאומי לישראל בע""מ",89998422,אחר,פרנק שווצרי,28/07/16,"-222,000.00",100.00,-860.29,-311.57,-0.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"שערוך Irx 10 בלל- בנק לאומי לישראל בע""מ",89998426,אחר,דולר אמריקאי,28/07/16,"224,924.01",1.11,9.34,3.38,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"שערוך irX 9 בלל CHF_$- בנק לאומי לישראל בע""מ",89998423,אחר,דולר אמריקאי,28/07/16,"224,924.01",0.56,4.75,1.72,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"סה""כ בחו""ל",,,,,0.00,,302.29,109.48,0.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"סה""כ מדדים כולל מניות",,,,,0.00,,302.29,109.48,0.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Equity Swap On ASA51 120917- בנק לאומי לישראל בע""מ",89998589,Diversified Financials,דולר אוסטרלי,16/09/16,"147,568.00",105.14,446.56,161.73,0.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Equity Swap On ASA51 160617- בנק לאומי לישראל בע""מ",89998577,Diversified Financials,דולר אוסטרלי,20/06/16,"143,873.07",107.84,446.56,161.73,0.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Equity Swap on DAX 130917- בנק לאומי לישראל בע""מ",89998583,Diversified Financials,אירו,14/09/16,"259,665.00",100.18,"1,096.33",397.06,0.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Equity Swap on DJITR _160617- בנק לאומי לישראל בע""מ",89998581,Diversified Financials,דולר אמריקאי,21/06/16,"36,853.70",103.00,142.53,51.62,0.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Equity Swap on RU20INTR- בנק לאומי לישראל בע""מ",89998591,Diversified Financials,דולר אמריקאי,15/09/16,"486,230.97",100.97,"1,843.44",667.64,0.77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Equity Swap on sptr 160617- בנק לאומי לישראל בע""מ",89998575,Diversified Financials,דולר אמריקאי,17/06/16,"890,050.88",104.27,"3,484.95","1,262.15",1.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Sptr swap_ libor12m-0.49%- בנק לאומי לישראל בע""מ",89998588,Diversified Financials,דולר אמריקאי,15/09/16,"-758,402.88",100.04,"-2,848.98","-1,031.82",-1.20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Swap  Dax_ Euribor12m +0.13%- בנק לאומי לישראל בע""מ",89998584,Diversified Financials,אירו,14/09/16,"-259,665.00",100.00,"-1,094.36",-396.35,-0.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Swap  Djirt_ libor12m -0.45- בנק לאומי לישראל בע""מ",89998582,Diversified Financials,דולר אמריקאי,21/06/16,"-36,853.70",100.22,-138.69,-50.23,-0.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Swap ASA51 _1.998%- בנק לאומי לישראל בע""מ",89998590,Diversified Financials,דולר אוסטרלי,16/09/16,"-147,568.00",100.07,-425.02,-153.93,-0.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Swap ASA51 _2.03%- בנק לאומי לישראל בע""מ",89998578,Diversified Financials,דולר אוסטרלי,20/06/16,"-143,873.07",100.58,-416.47,-150.83,-0.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Swap on russel _ libor 12m - 1.25%- בנק לאומי לישראל בע""מ",89998592,Diversified Financials,דולר אמריקאי,15/09/16,"-486,230.97",100.01,"-1,825.93",-661.30,-0.77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Swap Sptr Libor12m-0.51% _160617- בנק לאומי לישראל בע""מ",89998576,Diversified Financials,דולר אמריקאי,17/06/16,"-890,050.88",100.22,"-3,349.43","-1,213.07",-1.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Equity Swap on TUKXG (ftse100)130917- בנק מזרחי טפחות בע""מ",89998585,Diversified Financials,לירה שטרלינג,14/09/16,"285,823.70",103.82,"1,451.92",525.85,0.61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Equity Swap on XNDX 16617,89998579,Diversified Financials,דולר אמריקאי,21/06/16,"133,164.54",109.71,548.56,198.67,0.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Swap  XNDX_רבית 0.7608%_210617מז- בנק מזרחי טפחות בע""מ",89998580,Diversified Financials,דולר אמריקאי,21/06/16,"-133,164.54",100.21,-501.09,-181.48,-0.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"swap libor gbp 12m-0.27%- בנק מזרחי טפחות בע""מ",89998586,Diversified Financials,לירה שטרלינג,14/09/16,"-285,823.70",100.02,"-1,398.73",-506.58,-0.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Equity Swap on SPTR 120917- בנק לאומי לישראל בע""מ",89998587,אחר,דולר אמריקאי,15/09/16,"758,402.88",99.73,"2,840.16","1,028.63",1.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"סה""כ מטבע",,,,,0.00,,0.00,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0,0,0,0,,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"סה""כ ריבית",,,,,0.00,,0.00,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0,0,0,0,,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"סה""כ אחר",,,,,0.00,,0.00,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0,0,0,0,,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,בעל ענין/צד קשור *,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
