,תאריך הדיווח,29/09/2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,החברה המדווחת,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,שם מסלול/קרן/קופה,1039ילין לפידות גמל בני 60 ומעלה,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,מספר מסלול/קרן/קופה,9941,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,קוד קופת הגמל,513611509-00000000001035-9941-000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1.ב. ניירות ערך סחירים,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1. תעודות התחייבות ממשלתיות,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,שם המנפיק/שם נייר ערך ,"מספר ני""ע",זירת מסחר,דירוג,שם מדרג,תאריך רכישה,"מח""מ",סוג מטבע,שיעור ריבית,תשואה לפידיון,ערך נקוב,שער,שווי שוק,שעור מערך נקוב מונפק,שעור מנכסי אפיק ההשקעה,שעור מסך נכסי השקעה,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,תאריך,שנים,,אחוזים,אחוזים,,אגורות,אלפי ₪,אחוזים,אחוזים,אחוזים,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,(1),(2),(3),(4),(5),(6),(7),(8),(9),(10),(11),(12),(13),(14),(15),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"סה""כ תעודות התחייבות ממשלתיות",,,,,,2.21,,,0.47,"111,632,105.00",,"119,068.38",,100.00,49.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"סה""כ בישראל",,,,,,2.21,,,0.47,"111,632,105.00",,"119,068.38",,100.00,49.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"סה""כ צמודות למדד",,,,,,1.39,,,0.69,"32,068,737.00",,"33,414.96",,28.06,14.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"סה""כ גליל",,,,,,1.39,,,0.69,"32,068,737.00",,"33,414.96",,28.06,14.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,גליל  5904- גליל,9590431,TASE,RF,פנימי,10/02/16,6.98,שקל חדש,4.00,0.30,"412,350.00",158.28,652.67,0.00,0.55,0.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ממשל צמודה 0545- גליל,1134865,TASE,RF,פנימי,29/09/16,24.89,שקל חדש,1.00,1.19,"313,582.00",95.78,300.35,0.01,0.25,0.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ממשל צמודה 0923- גליל,1128081,TASE,RF,פנימי,11/09/16,6.67,שקל חדש,1.75,0.22,"68,967.00",111.60,76.97,0.00,0.06,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ממשל צמודה 1016- גליל,1130483,TASE,RF,פנימי,11/09/16,0.08,שקל חדש,0.10,3.50,"1,852,173.00",98.72,"1,828.47",0.02,1.54,0.77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ממשל צמודה 1025- גליל,1135912,TASE,RF,פנימי,11/09/16,8.77,שקל חדש,0.75,0.37,"353,880.00",103.65,366.80,0.00,0.31,0.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ממשלתי צמוד 841- גליל,1120583,TASE,RF,פנימי,06/06/16,19.40,שקל חדש,2.75,1.09,"117,546.00",144.60,169.97,0.00,0.14,0.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ממשלתי צמודה 922- גליל,1124056,TASE,RF,פנימי,24/08/16,5.65,שקל חדש,2.75,0.12,"1,267,333.00",118.86,"1,506.35",0.01,1.27,0.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ממשלתית צמודה 517- גליל,1125905,TASE,RF,פנימי,29/09/16,0.66,שקל חדש,1.00,0.55,"27,682,906.00",103.00,"28,513.39",0.17,23.95,11.96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"סה""כ לא צמודות",,,,,,2.53,,,0.38,"79,563,368.00",,"85,653.41",,71.94,35.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"סה""כ מלווה קצר מועד",,,,,,0.85,,,0.08,"23,371,238.00",,"23,355.69",,19.62,9.80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"מ.ק.מ 1116 פ.02.11.16- בנק ישראל- מק""מ",8161119,TASE,RF,פנימי,03/08/16,0.09,שקל חדש,0.00,0.11,"672,000.00",99.99,671.93,0.01,0.56,0.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"מ.ק.מ 327 פ8.3.17- בנק ישראל- מק""מ",8170326,TASE,RF,פנימי,02/03/16,0.44,שקל חדש,0.00,0.09,"3,000.00",99.96,3.00,0.00,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"מ.ק.מ 517 פדיון 4/05/2017- בנק ישראל- מק""מ",8170516,TASE,RF,פנימי,04/05/16,0.58,שקל חדש,0.00,0.10,"175,000.00",99.94,174.90,0.00,0.15,0.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"מ.ק.מ 617 פדיון 7/6/17- בנק ישראל- מק""מ",8170615,TASE,RF,פנימי,19/07/16,0.68,שקל חדש,0.00,0.10,"2,382,238.00",99.93,"2,380.57",0.03,2.00,1.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"מ.ק.מ 717 פידיון 5.7.17- בנק ישראל- מק""מ",8170714,TASE,RF,פנימי,06/07/16,0.76,שקל חדש,0.00,0.09,"1,076,000.00",99.93,"1,075.25",0.01,0.90,0.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"מ.ק.מ 817 פדיון 3/8/17- בנק ישראל- מק""מ",8170813,TASE,RF,פנימי,03/08/16,0.82,שקל חדש,0.00,0.07,"3,893,000.00",99.94,"3,890.66",0.04,3.27,1.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"מקמ 917 פדיון 6.9.2017- בנק ישראל- מק""מ",8170912,TASE,RF,פנימי,07/09/16,0.92,שקל חדש,0.00,0.08,"15,170,000.00",99.93,"15,159.38",1.69,12.73,6.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"סה""כ שחר",,,,,,3.16,,,0.49,"56,192,130.00",,"62,297.72",,52.32,26.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ממשל שקלית 0118- שחר,1126218,TASE,RF,פנימי,20/07/16,1.30,שקל חדש,4.00,0.14,"4,526,329.00",107.81,"4,879.84",0.03,4.10,2.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ממשל שקלית 0219- שחר,1110907,TASE,RF,פנימי,09/08/16,2.26,שקל חדש,6.00,0.31,"21,459,702.00",117.17,"25,144.33",0.12,21.12,10.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ממשל שקלית 0825- שחר,1135557,TASE,RF,פנימי,29/09/16,8.33,שקל חדש,1.75,1.71,"1,511,938.00",100.45,"1,518.74",0.01,1.28,0.64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ממשל שקלית 1018- שחר,1136548,TASE,RF,פנימי,07/09/16,2.07,שקל חדש,0.50,0.29,"13,931,508.00",100.90,"14,056.89",0.12,11.81,5.90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ממשל שקלית 519- שחר,1131770,TASE,RF,פנימי,06/09/16,2.60,שקל חדש,2.25,0.40,"11,710,169.00",105.64,"12,370.62",0.08,10.39,5.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ממשלתי שקלית 0142- שחר,1125400,TASE,RF,פנימי,09/08/16,15.86,שקל חדש,5.50,2.84,"2,457,416.00",151.30,"3,718.07",0.02,3.12,1.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,שחר ממשל שקלית 10/17 2.25%- שחר,1132786,TASE,RF,פנימי,08/03/16,1.07,שקל חדש,1.25,0.12,"595,068.00",102.38,609.23,0.01,0.51,0.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"סה""כ גילון",,,,,,0.00,,,0.00,0.00,,0.00,,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0,0,,0,,,0.00,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"סה""כ צמודות לדולר",,,,,,0.00,,,0.00,0.00,,0.00,,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0,0,,0,,,0.00,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"סה""כ בחו""ל",,,,,,0.00,,,0.00,0.00,,0.00,,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"סה""כ אג""ח של ממשלת ישראל שהונפקו בחו""ל",,,,,,0.00,,,0.00,0.00,,0.00,,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0,0,,0,,,0.00,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"סה""כ אג""ח שהנפיקו ממשלות זרות בחו""ל",,,,,,0.00,,,0.00,0.00,,0.00,,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0,0,,0,,,0.00,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
